1,elephant,elephant,15,savane,herbivore,4500.00,01/10/2025 10:30:15
2,eirafe,girafe,7,Savane,herbivore,800.00,01/10/2025 10:31:00
3,zebre,zebra,5,Savane,herbivore,320.00,01/10/2025 10:32:12
4,tigre,tigre,9,Jungle,carnivore,220.00,01/10/2025 10:33:05
5,panda,panda,6,Foret,herbivore,100.00,01/10/2025 10:34:18
6,kangourou,kangourou,4,desert,herbivore,65.00,01/10/2025 10:35:00
7,ours,Ours,12,Montagne,omnivore,300.00,01/10/2025 10:36:10
8,Aigle,aigle,3,Montagne,carnivore,8.00,01/10/2025 10:37:25
9,chameau,chameau,14,Désert,herbivore,540.00,01/10/2025 10:38:40
10,hippopotame,hippo,10,aquatique,herbivore,1500.00,01/10/2025 10:39:55
11,crocodile,crocodile,17,aquatique,carnivore,700.00,01/10/2025 10:41:05
12,flamant,flamant Rose,2,aquatique,herbivore,3.50,01/10/2025 10:42:15
13,autruche,autruche,8,savane,herbivore,120.00,01/10/2025 10:43:28
14,rhinoceros,rhino,11,savane,herbivore,2100.00,01/10/2025 10:44:40
15,pingouin,pingouin,4,aquatique,carnivore,12.00,01/10/2025 10:45:55
16,Cchien,chien,6,domestique,omnivore,25.00,01/10/2025 10:47:10
17,chat,chat,5,domestique,carnivore,6.00,01/10/2025 10:48:25
18,perroquet,perroquet,3,jungle,Herbivore,1.20,01/10/2025 10:49:38
19,cheval,cheval,9,plaine,herbivore,380.00,01/10/2025 10:50:50
20,singe,singe,7,jungle,omnivore,40.00,01/10/2025 10:52:05
